Код,Тип,Наименование,Локация,Дата,Количество,Примечание
p036,photo,"Рабочий визит Президента РК Н.А. Назарбаева в Республику Узбекистан. Встреча с Президентом И.А. Каримовым",г. Ташкент,19.09.1995,1,
p037,photo,Рабочий визит Президента РК Н.А. Назарбаева в Российскую Федерацию. Встреча с Президентом РФ Б.Н. Ельциным,г. Москва,20.01.1995,1,
p038,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Украины Л.Д. Кучмой, прибывшим в Казахстан с официальным визитом",г. Алматы,21.09.1995,1,
p039,photo,Встреча Президента РК Н.А. Назарбаева с Президентом Белоруссии А. Лукашенко в рамках 50-сессии ООН,г. Нью-Йорк,22.10.1995,1,
p040,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Турции С. Демирелем, в рамках 50-сессии ООН",г. Нью-Йорк,22.10.1995,1,
p041,photo,Встреча Президента РК Н.А. Назарбаева с Президентом Таджикистана Э. Рахмоновым,г. Алматы,22.11.1995,1,
p042,photo,"Встреча Президента РК Н.А. Назарбаева с Премьер-министром Исламской Республики Пакистан Б. Бхутто, прибывшей в Казахстан с официальным визитом",г. Алматы,23.08.1995,1,
p043,photo,Официальный визит Президента  РК Н.А. Назарбаева в Израиль. Встреча с Президентом Израиля Э. Вейцманом,г. Тель-Авив,26.12.1995,1,
p044,photo,Официальный визит Президента РК Н.А. Назарбаева в Государство Палестина.  Встреча с Председателем Исполкома Организации освобождения Палестины Я. Арафатом,г. Иерусалим,25.12.1995,1,
p045,photo,Официальный визит Президента РК Н.А. Назарбаева в Китайскую Народную Республику. Встреча с Председателем КНР Цзянь Цземинем,г. Пекин,11.09.1995,1,
p046,photo,Государственный визит Президента РК Н.А. Назарбаева в Республику Татарстан. Встреча с Президентом Татарстана М. Шаймиевым,г. Казань,03.04.1996,1,
p047,photo,"Встреча Президента РК Н.А. Назарбаева с Председателем КНР Ц. Цземинем, прибывшим  в Казахстан с официальным визитом",г. Алматы,04.07.1996,1,
p048,photo,Президент РК Н.А. Назарбаев прибыл с визитом в столицу Белорусии город Минск. Встреча с Президентом Республики Беларусь А. Лукашенко,г. Минск,17.01.1996,1,
p049,photo,В Екатерининском зале Кремля на заседании глав государств Содружества выступил Президент РК Н.А. Назарбаев,г. Москва,19.01.1996,1,
p050,photo,Официальный визит в Исламскую Республику Иран. Встреча с Президентом Х. Рафсанджани,Тегеран,11.05.1996,1,
p051,photo,Официальный визит Президента РК Н.А. Назарбаева в Азербайджанскую Республику. Встреча с Президентом Азербайджана Г.А. Алиевым,г. Баку,16.09.1996,1,
p052,photo,Официальный визит Президента РК Н.А. Назарбаева в Грузию. Подписание Декларации об основах экономических отношений между Казахстаном и Грузией,Тбилиси,17.09.1996,1,
p053,photo,"Встреча Президента РК Н.А. Назарбаева с премьер-министром Федерации Малайзия М. Мохамадом, прибывшим в Казахстан с официальным визитом",г. Алматы,18.07.1996,1,
p054,photo,Официальный визит Президента РК Н.А. Назарбаева в Республику Сингапур. Встреча с премьер-министром страны Гок Чок Тонгом,Сингапур,29.05.1996,1,
p055,photo,Рабочий визит Президента РК Н.А. Назарбаева в Российскую Федерацию. Встреча с Президентом Российской Федерации Б.Н. Ельциным,г. Москва,23.11.1996,1,
p056,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Исламской Республики Пакистан Ф. Легари, прибывшим в Казахстан с официальным визитом",г. Алматы,28.10.1996,1,
p057,photo,Государственный визит Президента РК Н.А. Назарбаева в Федерацию Малайзия. Встреча с премьер-министром Малайзии М. Мохамадом,г.Куала-Лумпур,14.12.1996,1,
p058,photo,Официальный визит Президента РК Н.А. Назарбаева в Республику Индия.  Встреча с Президентом Индии Ш. Шармой,г. Дели,09.12.1996,1,
p059,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Российской Федерации Б.Н. Ельциным, прибывшим в Казахстан с рабочим визитом",г. Алматы,27.04.1996,1,
p060,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Польши А. Квасьневским, в рамках международного экономического форума",г. Давос,30.01.1997,1,
p061,photo,Частный визит Президента РК Н.А. Назарбаева в Китайскую Народную Республику. Встреча с Председателем КНР с Цзян Цзэминем,г. Пекин,12.02.1997,4,
p062,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Литовской Республики А. Бразаускасом, прибывшим в Казахстан с официальным визитом",Алматы,07.03.1997,1,
p063,photo,Встреча Президента РК Н.А. Назарбаева с Президентом РФ Б. Ельциным,Москва,24.04.1997,1,
p064,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Итальянской Республики  О.Л. Скальфаро, прибывшим в Казахстан с официальным визитом",Алматы,05.05.1997,4,
p065,photo,Официальный визит Президента Азербайджана Г. Алиева в Казахстан. Подписание документов,Алматы,10.06.1997,1,
p066,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Татарстана М. Шаймиевым, прибывшим в Казахстан с официальным визитом",Алматы,25.08.1997,1,
p067,photo,Официальный визит Президента РК Н.А. Назарбаева в Государство Кувейт. Встреча с Эмиром Кувейта шейхом Джабером аль-Ахмадом аль-Джабером аль-Сабахом,г. Кувейт,01.09.1997,2,
p068,photo,Официальный визит Президента РК Н.А. Назарбаева в Султанат Оман. Встреча с Султаном Кабусом бен Саидом,"г.Маскат.",02.09.1997,3,
p069,photo,Официальный визит Президента РК Н.А. Назарбаева в Королевство Бахрейн. Встреча с Эмиром Бахрейна шейхом Исой ибн Салманом аль-Халифой,г. Манама,02.09.1997,5,
p070,photo,Президент РК Н.А. Назарбаев был награжден Президентом РФ Б. Ельциным юбилейной медалью в честь 850-летия Москвы,Москва,06.09.1997,2,
p071,photo,Встреча Президента РК Н.А. Назарбаева с  Президентом Республики Беларусь А. Лукашенко,Москва,06.09.1997,1,
p072,photo,"Встреча Президента РК Н.А. Назарбаева с Премьер-министром Италии Р. Проди, прибывшим в Казахстан с официальным визитом",Алматы,16.09.1997,2,
p073,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Республики Беларусь А. Лукашенко, прибывшим в Казахстан с официальным визитом",Алматы,23.09.1997,3,
p074,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Украины Л. Кучмой, прибывшим в Казахстан с официальным визитом",Алматы,14.10.1997,3,
p075,photo,"Встреча Президента РК Н.А. Назарбаева с председателем правительства Испании Х.М. Аснаром, прибывшим в Алматы с официальным визитом",Алматы,27.10.1997,3,
p076,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Венгрии А. Генцем, прибывшим в Казахстан с официальным визитом",Алматы,03.11.1997,3,
p077,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Грузии Э. Шеварднадзе, прибывшим с официальным визитом в Казахстан",Алматы,11.11.1997,1,
p078,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом США Б. Клинтоном, в ходе официального визита",Вашингтон,18.11.1997,4,
p079,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Франции Ж. Шираком, в рамках сессии Генеральной Ассамблеи ООН",Нью-Йорк,23.06.1997,3,
